drop_location,n_trip
Loop,321824
River North,285710
Streeterville,199940
West Loop,154910
O'Hare,76407
Lake View,72629
Grant Park,62056
Museum Campus,45300
Gold Coast,40927
Sheffield & DePaul,37793
Lincoln Park,37396
East Village,36362
"Little Italy, UIC",25911
Uptown,25490
Near South Side,25195
Garfield Ridge,22362
Logan Square,18610
Edgewater,17499
West Town,15492
Old Town,14087
Rush & Division,11866
North Center,11798
Lincoln Square,10702
Rogers Park,8971
West Ridge,8950
Irving Park,8897
Hyde Park,7654
Avondale,6247
Wicker Park,5478
Albany Park,5427
United Center,5367
Lower West Side,4299
Douglas,4287
Portage Park,3592
Humboldt Park,2936
Norwood Park,2857
Kenwood,2681
Bridgeport,2313
Armour Square,2311
Jefferson Park,2230
Bucktown,2229
North Park,2035
Garfield Park,1973
Mckinley Park,1921
Belmont Cragin,1771
Boystown,1619
Chinatown,1573
Grand Boulevard,1548
Austin,1333
"Sauganash,Forest Glen",1307
South Shore,1216
Woodlawn,1085
Little Village,1014
North Lawndale,965
Jackson Park,960
Dunning,905
Ukrainian Village,828
Hermosa,827
Englewood,763
Chatham,696
New City,688
Grand Crossing,678
Brighton Park,584
Andersonville,506
Oakland,499
Ashburn,484
Washington Park,481
Auburn Gresham,455
Clearing,435
Roseland,431
Wrigleyville,427
Edison Park,425
South Chicago,390
Chicago Lawn,368
Beverly,315
Calumet Heights,287
Washington Heights,274
Archer Heights,251
Gage Park,247
Fuller Park,245
West Lawn,232
Morgan Park,231
South Deering,225
Avalon Park,209
West Pullman,194
Montclare,173
West Elsdon,170
Pullman,113
Mount Greenwood,91
Hegewisch,53
East Side,51
Burnside,49
Undef,38
Riverdale,36
