pickup_location,n_trip
Loop,404495
River North,333486
Streeterville,195674
West Loop,139846
O'Hare,114684
Grant Park,64107
Lake View,54027
Museum Campus,37306
Gold Coast,35248
Garfield Ridge,34879
"Little Italy, UIC",30923
Sheffield & DePaul,29531
Near South Side,22685
East Village,20676
Uptown,20154
Lincoln Park,18893
Edgewater,14257
Rush & Division,12907
Old Town,10372
Logan Square,9360
West Ridge,7248
Rogers Park,6908
Irving Park,6296
Lincoln Square,6287
North Center,4995
Hyde Park,4431
United Center,4117
Avondale,3953
Albany Park,3921
West Town,3900
Jefferson Park,2943
Douglas,2477
Portage Park,2144
Wicker Park,2085
Kenwood,1658
Mckinley Park,1507
Norwood Park,1448
Humboldt Park,1378
North Park,1301
Armour Square,1238
Lower West Side,1188
Garfield Park,1120
Boystown,1080
Jackson Park,970
Belmont Cragin,848
Grand Boulevard,830
South Shore,709
Austin,662
Bridgeport,590
Woodlawn,587
"Sauganash,Forest Glen",535
Chatham,502
Bucktown,485
Little Village,468
Dunning,439
Englewood,420
Wrigleyville,379
Hermosa,372
North Lawndale,366
Grand Crossing,356
Ashburn,337
Oakland,313
New City,296
Auburn Gresham,270
Andersonville,265
Roseland,250
Washington Park,250
Brighton Park,239
South Chicago,233
Ukrainian Village,191
Chicago Lawn,187
Calumet Heights,181
Washington Heights,178
Avalon Park,171
South Deering,165
Fuller Park,148
West Pullman,117
Clearing,113
Archer Heights,112
Montclare,103
Morgan Park,101
Chinatown,97
Edison Park,91
Gage Park,90
West Elsdon,90
West Lawn,86
Beverly,84
Pullman,79
Burnside,60
Hegewisch,50
East Side,30
Riverdale,19
Mount Greenwood,16
Undef,3
