neighborhood_id,name
0,Albany Park
1,Andersonville
2,Archer Heights
3,Armour Square
4,Ashburn
5,Auburn Gresham
6,Austin
7,Avalon Park
8,Avondale
9,Belmont Cragin
10,Beverly
11,Boystown
12,Bridgeport
13,Brighton Park
14,Bucktown
15,Burnside
16,Calumet Heights
17,Chatham
18,Chicago Lawn
19,Chinatown
20,Clearing
21,Douglas
22,Dunning
23,East Side
24,East Village
25,Edgewater
26,Edison Park
27,Englewood
28,Fuller Park
29,Gage Park
30,Garfield Park
31,Garfield Ridge
32,Gold Coast
33,Grand Boulevard
34,Grand Crossing
35,Grant Park
36,Hegewisch
37,Hermosa
38,Humboldt Park
39,Hyde Park
40,Irving Park
41,Jackson Park
42,Jefferson Park
43,Kenwood
44,Lake View
45,Lincoln Park
46,Lincoln Square
47,"Little Italy, UIC"
48,Little Village
49,Logan Square
50,Loop
51,Lower West Side
52,Mckinley Park
53,Montclare
54,Morgan Park
55,Mount Greenwood
56,Museum Campus
57,Near South Side
58,New City
59,North Center
60,North Lawndale
61,North Park
62,Norwood Park
63,O'Hare
64,Oakland
65,Old Town
66,Portage Park
67,Pullman
68,River North
69,Riverdale
70,Rogers Park
71,Roseland
72,Rush & Division
73,"Sauganash,Forest Glen"
74,Sheffield & DePaul
75,South Chicago
76,South Deering
77,South Shore
78,Streeterville
79,Ukrainian Village
80,Undef
81,United Center
82,Uptown
83,Washington Heights
84,Washington Park
85,West Elsdon
86,West Lawn
87,West Loop
88,West Pullman
89,West Ridge
90,West Town
91,Wicker Park
92,Woodlawn
93,Wrigleyville
