record_id,ts,temperature,description
132,2017-11-06 11:00,275.11,broken clouds
133,2017-11-06 12:00,274.67,overcast clouds
134,2017-11-06 13:00,273.91,overcast clouds
135,2017-11-06 14:00,273.51,broken clouds
136,2017-11-06 15:00,274.91,broken clouds
137,2017-11-06 16:00,276.01,broken clouds
138,2017-11-06 17:00,277.76,broken clouds
139,2017-11-06 18:00,278.32,broken clouds
140,2017-11-06 19:00,278.32,broken clouds
141,2017-11-06 20:00,278.33,broken clouds
142,2017-11-06 21:00,278.14,sky is clear
143,2017-11-06 22:00,278.82,broken clouds
144,2017-11-06 23:00,277.7,broken clouds
145,2017-11-07 0:00,277.15,scattered clouds
146,2017-11-07 1:00,277.05,broken clouds
147,2017-11-07 2:00,277.24,overcast clouds
148,2017-11-07 3:00,277.24,overcast clouds
149,2017-11-07 4:00,277.63,broken clouds
150,2017-11-07 5:00,277.49,overcast clouds
151,2017-11-07 6:00,277.4,overcast clouds
152,2017-11-07 7:00,277.49,broken clouds
153,2017-11-07 8:00,277.21,overcast clouds
154,2017-11-07 9:00,277.04,scattered clouds
155,2017-11-07 10:00,276.04,broken clouds
156,2017-11-07 11:00,275.63,overcast clouds
157,2017-11-07 12:00,275.33,overcast clouds
158,2017-11-07 13:00,275.33,overcast clouds
159,2017-11-07 14:00,276.49,overcast clouds
160,2017-11-07 15:00,277.75,broken clouds
161,2017-11-07 16:00,279.59,overcast clouds
162,2017-11-07 17:00,280.05,broken clouds
163,2017-11-07 18:00,280.54,broken clouds
164,2017-11-07 19:00,280.24,broken clouds
165,2017-11-07 20:00,280.34,scattered clouds
166,2017-11-07 21:00,280.35,overcast clouds
167,2017-11-07 22:00,279.93,overcast clouds
168,2017-11-07 23:00,279.24,light rain
169,2017-11-08 0:00,277.94,light rain
170,2017-11-08 1:00,277.41,overcast clouds
171,2017-11-08 2:00,275.95,broken clouds
172,2017-11-08 3:00,275.28,broken clouds
173,2017-11-08 4:00,274.55,scattered clouds
174,2017-11-08 5:00,273.23,sky is clear
175,2017-11-08 6:00,272.93,sky is clear
176,2017-11-08 7:00,272.49,sky is clear
177,2017-11-08 8:00,272.12,sky is clear
178,2017-11-08 9:00,271.67,sky is clear
179,2017-11-08 10:00,271.4,sky is clear
180,2017-11-08 11:00,270.84,mist
181,2017-11-08 12:00,271.25,mist
182,2017-11-08 13:00,270.31,mist
183,2017-11-08 14:00,270.93,mist
184,2017-11-08 15:00,273.76,mist
185,2017-11-08 16:00,276.41,sky is clear
186,2017-11-08 17:00,278.05,sky is clear
187,2017-11-08 18:00,279.44,sky is clear
188,2017-11-08 19:00,280.25,sky is clear
189,2017-11-08 20:00,280.94,sky is clear
190,2017-11-08 21:00,280.92,sky is clear
191,2017-11-08 22:00,280.7,sky is clear
192,2017-11-08 23:00,280.26,few clouds
193,2017-11-09 0:00,278.16,sky is clear
194,2017-11-09 1:00,276.34,sky is clear
195,2017-11-09 2:00,275.34,sky is clear
196,2017-11-09 3:00,274.15,sky is clear
197,2017-11-09 4:00,273.06,mist
198,2017-11-09 5:00,273.07,sky is clear
199,2017-11-09 6:00,272.61,sky is clear
200,2017-11-09 7:00,272.98,mist
